"","Size"
"Mya truncata",8
"Mycteroperca",117.6
"Myctophidae",12.7
"Myoxocephalus",44.8333333333333
"Mytilus",12.9375
"Myxine glutinosa",95
"Naticidae",3.6
"Naucrates ductor",70
"Nealotus tripes",25
"Nemichthys scolopaceus",130
"Neocyttus helgae",30.5
"Neohela monstrosa",6
"Neolithodes grimaldii",13.7
"Neoscopelus macrolepidotus",25
"Neptunea",11.747
"Nessorhamphus ingolfianus",60
"Nezumia aequalis",36
"Nezumia bairdii",40
"Notacanthus chemnitzii",120
"Notolepis rissoi",34
"Novodinia americana",15
"Nucella lapillus",4
"Nucula",0.81
"Nuculana",1.06875
"Nymphon",4.29
"Oceanites",17.5
"Octopoteuthis",25.0666666666667
"Odobenus rosmarus",380
"Oediceros saginatus",2
"Oithona spinirostris",0.2
"Ommastrephes",45
"Omosudis lowii",23
"Oncopagurus",2.5
"Oneirodes",10.3368420412666
"Ophelia",5.5
"Ophiacantha abyssicola",10
"Ophiacantha bidentata",10
"Ophichthus cruentifer",46.7000007629395
"Ophiomusa lymani",4
"Ophiopholis aculeata",3.8
"Ophioscolex glacialis",8
"Ophiura",0.3
"Oplophorus spinosus",3
"Orcinus orca",980
"Osmerus mordax mordax",32.8999996185303
"Ovalipes ocellatus",8.7
"Pachycerianthus borealis",30
"Pagophilus groenlandicus",190
"Pagurus",1.35333333333333
"Palio dubia",1.20000004768372
"Palmaria palmata",40
"Pandalus borealis",12
"Pandalus montagui",16
"Pandora gouldiana",3.5
"Panomya norvegica",11
"Parablennius marmoreus",8.5
"Paragorgia arborea",40
"Paralepis atlantica",31.7333335876465
"Paralepis elongata",21
"Paralichthys dentatus",94
"Paraliparis calidus",14.1999998092651
"Paraliparis copei",15.9861249446869
"Paraliparis copei copei",17
"Paraliparis garmani",14.1999998092651
"Paramphithoe hystrix",2
"Parapasiphae sulcatifrons",7.1
"Parasudis truculenta",25
"Parathemisto",0.8
"Parvicardium pinnulatum",1.3
"Pasiphaea multidentata",10.5
"Pasiphaea tarda",8.055
"Pelagia noctiluca",9
"Pennatula aculeata",10
"Pennatula grandis",20
