"aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
159056,"Sterna antillarum","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","antillarum"
137159,"Sterna caspia","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","caspia"
137160,"Sterna dougallii","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","dougallii"
159057,"Sterna forsteri","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","forsteri"
137161,"Sterna fuscata","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","fuscata"
137162,"Sterna hirundo","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","hirundo"
137164,"Sterna nilotica","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","nilotica"
137165,"Sterna paradisaea","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","paradisaea"
159069,"Thalassarche chlororhynchos","Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","chlororhynchos"
159509,"Trichechus manatus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus","manatus"
159029,"Tringa erythropus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","erythropus"
159030,"Tringa flavipes","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","flavipes"
158967,"Tringa melanoleuca","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","melanoleuca"
158968,"Tringa nebularia","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","nebularia"
158969,"Tringa solitaria","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","solitaria"
158970,"Tringa totanus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","totanus"
158972,"Tryngites subruficollis","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tryngites","subruficollis"
137111,"Tursiops truncatus","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Tursiops","truncatus"
137133,"Uria aalge","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","aalge"
137134,"Uria lomvia","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","lomvia"
137085,"Ursus maritimus","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","maritimus"
159142,"Vanellus vanellus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","vanellus"
